serial_number,age_in_years,job_description,marital_status,education_details,has_default,balance_in_account,housing_status,previous_loan,phone_type,date,month_of_year,call_duration,campaign_contacts,days_passed,previous_contact,poutcome_of_campaign
88,50,blue-collar,married,secondary,no,2320,yes,no,cellular,7,apr,310,1,-1,0,unknown
89,20,student,single,unknown,no,8860,no,no,cellular,7,apr,98,2,-1,0,unknown
90,25,admin.,single,secondary,no,82,no,yes,cellular,7,apr,104,2,-1,0,unknown
91,31,student,single,secondary,no,735,no,no,cellular,7,apr,88,3,322,1,other
92,39,technician,divorced,secondary,no,17441,yes,yes,cellular,7,apr,1,1,-1,0,unknown
93,41,blue-collar,married,secondary,no,1885,yes,no,cellular,7,apr,158,2,-1,0,unknown
94,44,unemployed,married,secondary,no,728,yes,no,cellular,7,apr,185,1,328,11,failure
95,41,management,married,tertiary,no,5,yes,no,cellular,7,apr,542,3,140,3,failure
96,30,technician,single,secondary,no,3568,yes,no,cellular,7,apr,265,1,-1,0,unknown
97,31,technician,single,secondary,no,2484,yes,no,cellular,7,apr,562,1,-1,0,unknown
98,51,blue-collar,married,secondary,no,4787,yes,no,cellular,7,apr,895,1,-1,0,unknown
99,39,services,single,secondary,no,600,no,no,cellular,7,apr,277,1,-1,0,unknown
100,43,blue-collar,married,secondary,no,1617,yes,no,cellular,7,apr,239,1,-1,0,unknown
101,35,blue-collar,married,primary,no,-210,yes,yes,telephone,7,apr,235,3,-1,0,unknown
102,34,unemployed,married,secondary,no,428,yes,no,cellular,7,apr,221,2,267,3,other
103,51,blue-collar,married,secondary,no,984,yes,no,telephone,7,apr,353,4,-1,0,unknown
104,50,management,married,secondary,no,732,no,no,cellular,7,apr,736,7,-1,0,unknown
105,48,management,divorced,tertiary,no,351,yes,no,cellular,7,apr,725,3,-1,0,unknown
106,54,blue-collar,married,secondary,no,5521,yes,no,cellular,7,apr,581,2,-1,0,unknown
107,30,management,married,tertiary,no,8623,no,no,cellular,8,apr,163,3,-1,0,unknown
108,45,housemaid,married,primary,no,317,yes,no,cellular,8,apr,325,2,-1,0,unknown
109,40,blue-collar,single,primary,no,446,yes,no,cellular,8,apr,594,4,331,1,failure
110,56,technician,married,secondary,no,2847,no,no,cellular,8,apr,327,1,-1,0,unknown
111,49,management,married,tertiary,no,519,yes,no,cellular,8,apr,98,1,-1,0,unknown
112,55,blue-collar,married,secondary,no,1358,no,no,cellular,8,apr,149,1,-1,0,unknown
113,35,blue-collar,married,secondary,no,0,yes,yes,cellular,8,apr,519,1,-1,0,unknown
114,38,blue-collar,married,secondary,no,6994,yes,no,telephone,8,apr,169,1,139,2,failure
115,42,technician,married,secondary,no,233,no,no,cellular,8,apr,98,1,231,4,failure
116,36,blue-collar,single,secondary,no,1822,yes,no,cellular,8,apr,952,1,323,1,other
117,35,technician,single,secondary,no,16,yes,no,cellular,8,apr,903,1,-1,0,unknown
118,37,technician,married,secondary,no,720,yes,no,cellular,8,apr,58,3,-1,0,unknown
119,54,technician,married,secondary,no,3323,yes,yes,cellular,8,apr,59,3,-1,0,unknown
120,57,blue-collar,married,primary,no,5949,yes,no,cellular,8,apr,123,1,-1,0,unknown
121,36,technician,single,secondary,no,524,yes,no,cellular,8,apr,95,1,-1,0,unknown
122,53,admin.,married,secondary,no,35,yes,no,cellular,8,apr,97,1,-1,0,unknown
123,65,retired,married,secondary,no,20806,no,no,telephone,8,apr,523,2,-1,0,unknown
124,35,admin.,married,secondary,no,126,yes,no,cellular,8,apr,268,1,-1,0,unknown
125,35,blue-collar,married,secondary,no,2926,yes,no,cellular,8,apr,182,1,292,25,failure
126,28,technician,married,secondary,no,139,yes,yes,cellular,8,apr,72,1,-1,0,unknown
127,49,management,married,tertiary,no,78,yes,no,cellular,8,apr,65,3,-1,0,unknown
128,27,student,single,tertiary,no,3687,no,no,cellular,8,apr,335,2,-1,0,unknown
129,37,admin.,single,secondary,no,810,yes,no,cellular,8,apr,376,1,295,1,failure
130,35,technician,single,tertiary,no,458,yes,no,cellular,8,apr,2129,1,322,3,failure
131,35,blue-collar,married,secondary,no,1993,yes,no,cellular,8,apr,462,2,-1,0,unknown
132,54,unemployed,married,secondary,no,377,no,no,cellular,8,apr,1134,1,-1,0,unknown
133,31,admin.,married,secondary,no,941,yes,no,cellular,8,apr,213,4,-1,0,unknown
134,55,self-employed,married,secondary,no,12159,yes,no,cellular,8,apr,179,5,139,4,failure
135,39,admin.,married,secondary,no,217,yes,no,cellular,8,apr,284,1,308,4,failure
136,48,management,married,secondary,no,4415,yes,no,cellular,8,apr,1032,3,141,7,failure
137,44,self-employed,divorced,secondary,no,522,yes,no,cellular,8,apr,241,1,-1,0,unknown
138,34,student,single,tertiary,no,3404,yes,no,cellular,8,apr,420,1,139,5,failure
139,36,self-employed,married,primary,no,1094,yes,no,cellular,8,apr,291,1,335,1,failure
140,45,blue-collar,married,primary,no,31,no,no,cellular,8,apr,393,2,310,1,other
141,32,technician,married,secondary,no,303,yes,no,cellular,8,apr,150,1,267,4,failure
142,60,admin.,divorced,secondary,no,12039,no,no,telephone,8,apr,236,1,-1,0,unknown
143,38,technician,married,tertiary,no,3234,no,no,cellular,8,apr,281,1,141,2,success
144,42,blue-collar,married,secondary,no,363,no,no,cellular,8,apr,101,2,-1,0,unknown
145,40,entrepreneur,married,tertiary,no,2310,yes,yes,cellular,8,apr,120,1,294,1,failure
146,28,student,single,secondary,no,11555,no,no,cellular,8,apr,125,2,-1,0,unknown
147,68,retired,married,primary,no,1759,no,no,telephone,8,apr,185,1,-1,0,unknown
148,52,services,married,primary,no,821,yes,yes,cellular,8,apr,426,2,-1,0,unknown
149,37,admin.,married,tertiary,no,2693,yes,no,cellular,8,apr,261,1,-1,0,unknown
150,34,blue-collar,married,unknown,no,11,yes,no,cellular,8,apr,233,1,-1,0,unknown
151,67,retired,married,secondary,no,1443,no,no,cellular,8,apr,245,1,-1,0,unknown
152,34,technician,married,secondary,no,2726,yes,no,cellular,8,apr,67,1,-1,0,unknown
153,35,blue-collar,married,secondary,no,21,yes,no,cellular,8,apr,663,2,-1,0,unknown
154,27,technician,single,tertiary,no,4661,no,no,cellular,8,apr,114,1,-1,0,unknown
155,27,services,single,tertiary,no,128,no,no,cellular,8,apr,83,1,-1,0,unknown
156,33,management,single,tertiary,no,259,no,no,cellular,8,apr,195,6,-1,0,unknown
157,46,blue-collar,married,primary,no,1204,yes,no,cellular,8,apr,139,2,-1,0,unknown
158,57,management,married,tertiary,no,1287,yes,no,cellular,8,apr,180,2,-1,0,unknown
159,32,management,single,tertiary,no,1781,no,no,cellular,8,apr,321,1,-1,0,unknown
160,36,entrepreneur,married,secondary,no,419,yes,no,cellular,8,apr,34,3,-1,0,unknown
161,34,technician,married,secondary,no,209,yes,yes,cellular,8,apr,375,2,-1,0,unknown
162,39,technician,single,secondary,no,1048,yes,yes,cellular,8,apr,201,2,-1,0,unknown
163,26,admin.,married,secondary,no,3415,no,no,cellular,8,apr,209,1,-1,0,unknown
164,55,unemployed,married,secondary,no,12,no,no,cellular,8,apr,167,1,-1,0,unknown
165,50,technician,single,secondary,no,-97,yes,no,cellular,8,apr,425,1,306,2,failure
166,60,unemployed,married,secondary,no,2000,no,no,cellular,8,apr,58,1,-1,0,unknown
167,32,technician,married,secondary,no,1951,yes,no,cellular,8,apr,518,2,261,2,failure
168,71,housemaid,married,primary,no,227,no,no,cellular,8,apr,74,1,-1,0,unknown
169,58,blue-collar,married,primary,no,189,yes,no,telephone,8,apr,119,1,-1,0,unknown
170,61,housemaid,married,tertiary,no,1389,no,no,cellular,8,apr,250,1,-1,0,unknown
171,33,management,single,tertiary,no,318,yes,no,cellular,8,apr,1190,1,141,3,other
172,32,admin.,single,secondary,no,5,yes,yes,cellular,8,apr,110,1,-1,0,unknown
173,50,management,married,unknown,no,5043,yes,yes,cellular,8,apr,201,1,-1,0,unknown
174,46,entrepreneur,married,tertiary,no,4726,yes,no,cellular,8,apr,405,1,-1,0,unknown
175,32,self-employed,single,tertiary,no,562,yes,yes,cellular,8,apr,84,1,-1,0,unknown
176,44,admin.,married,secondary,no,1807,yes,yes,cellular,8,apr,229,1,313,1,failure
177,48,admin.,single,secondary,no,1234,yes,no,cellular,8,apr,188,1,-1,0,unknown
178,25,admin.,single,secondary,no,654,no,no,cellular,8,apr,216,1,-1,0,unknown
179,35,management,married,tertiary,no,1725,yes,yes,cellular,8,apr,180,2,254,7,failure
180,56,technician,married,tertiary,no,655,yes,yes,cellular,8,apr,326,1,-1,0,unknown
181,46,management,married,tertiary,no,964,yes,no,cellular,8,apr,174,1,-1,0,unknown
182,33,blue-collar,married,secondary,no,370,yes,no,cellular,8,apr,249,1,-1,0,unknown
183,21,student,single,primary,no,423,no,no,cellular,8,apr,104,5,-1,0,unknown
184,35,management,married,tertiary,no,24,yes,no,cellular,8,apr,169,1,231,2,failure
185,39,management,married,tertiary,no,271,yes,no,cellular,8,apr,101,1,-1,0,unknown
186,30,technician,single,secondary,no,2544,no,no,cellular,8,apr,108,2,-1,0,unknown
187,41,blue-collar,married,secondary,no,1521,yes,no,cellular,8,apr,46,4,-1,0,unknown
188,39,services,married,secondary,no,702,yes,no,cellular,8,apr,303,1,300,1,failure
189,27,student,single,secondary,no,2614,no,no,cellular,8,apr,143,2,-1,0,unknown
190,40,technician,married,secondary,no,1832,no,no,cellular,8,apr,179,2,-1,0,unknown
191,30,services,single,secondary,no,1268,yes,no,cellular,8,apr,105,4,320,8,other
192,36,blue-collar,married,secondary,no,536,yes,no,cellular,8,apr,274,3,-1,0,unknown
193,54,entrepreneur,married,tertiary,no,1063,yes,no,telephone,8,apr,690,7,-1,0,unknown
194,36,management,single,tertiary,no,223,yes,no,cellular,8,apr,281,3,-1,0,unknown
195,31,management,single,secondary,no,1088,yes,no,cellular,8,apr,575,2,-1,0,unknown
196,42,blue-collar,married,secondary,no,3168,yes,no,cellular,8,apr,764,2,-1,0,unknown
197,24,student,single,secondary,no,745,yes,no,telephone,8,apr,93,2,-1,0,unknown
198,27,admin.,married,secondary,no,1293,yes,no,cellular,8,apr,1665,3,-1,0,unknown
199,26,blue-collar,married,secondary,no,352,yes,no,cellular,8,apr,213,3,317,4,other
200,37,technician,married,secondary,no,523,yes,no,cellular,8,apr,171,2,139,4,failure
201,29,management,single,tertiary,no,1377,no,no,cellular,8,apr,548,2,-1,0,unknown
202,38,blue-collar,single,secondary,no,2580,yes,no,cellular,8,apr,1691,2,264,3,failure
203,50,blue-collar,married,secondary,no,562,yes,no,cellular,8,apr,280,2,-1,0,unknown
204,23,admin.,single,tertiary,no,314,no,yes,cellular,8,apr,142,4,-1,0,unknown
205,30,management,married,tertiary,no,357,yes,no,cellular,8,apr,78,2,289,2,other
206,37,services,single,secondary,no,248,yes,no,cellular,8,apr,417,2,57,3,failure
207,35,unemployed,married,tertiary,no,1057,yes,no,cellular,8,apr,902,2,-1,0,unknown
208,38,technician,married,tertiary,no,206,no,no,cellular,8,apr,350,2,-1,0,unknown
209,29,technician,married,secondary,no,23,yes,no,cellular,8,apr,101,2,-1,0,unknown
210,25,admin.,single,tertiary,no,1420,no,no,cellular,8,apr,124,2,-1,0,unknown
211,58,retired,divorced,tertiary,no,5253,no,no,cellular,9,apr,162,4,295,3,failure
212,38,blue-collar,married,secondary,no,13849,yes,no,cellular,9,apr,286,4,321,5,failure
213,32,technician,married,secondary,no,344,yes,no,cellular,9,apr,68,3,140,2,failure
214,33,blue-collar,married,primary,no,331,yes,no,cellular,9,apr,435,2,314,3,failure
215,44,blue-collar,married,primary,no,1704,yes,no,cellular,9,apr,312,2,-1,0,unknown
216,54,admin.,married,primary,no,546,yes,no,telephone,9,apr,40,1,-1,0,unknown
217,37,technician,single,tertiary,no,3315,yes,no,cellular,9,apr,820,2,-1,0,unknown
218,48,management,divorced,tertiary,no,507,yes,no,cellular,9,apr,528,1,-1,0,unknown
219,36,blue-collar,married,primary,no,2730,yes,no,cellular,9,apr,105,1,323,1,failure
220,30,technician,single,secondary,no,3286,yes,no,cellular,9,apr,743,1,-1,0,unknown
221,57,blue-collar,married,secondary,no,1412,yes,no,cellular,9,apr,89,1,330,1,failure
222,26,student,single,secondary,no,766,no,no,cellular,9,apr,125,6,-1,0,unknown
223,41,services,married,secondary,no,803,yes,no,cellular,9,apr,592,4,316,3,failure
224,28,management,single,tertiary,no,781,no,no,cellular,9,apr,125,6,-1,0,unknown
225,53,blue-collar,married,primary,no,1090,yes,no,cellular,9,apr,207,1,-1,0,unknown
226,34,management,married,tertiary,no,159,yes,yes,cellular,9,apr,150,1,275,2,other
227,55,admin.,married,unknown,no,2038,no,no,cellular,9,apr,394,1,-1,0,unknown
228,39,management,married,tertiary,no,272,yes,no,cellular,9,apr,85,1,325,1,other
229,33,technician,single,secondary,no,719,yes,no,cellular,9,apr,448,2,316,6,failure
230,51,blue-collar,divorced,primary,no,155,yes,yes,cellular,9,apr,220,1,142,1,failure
231,33,services,married,secondary,no,-329,yes,no,cellular,9,apr,113,1,-1,0,unknown
232,39,technician,married,secondary,no,6533,yes,no,cellular,9,apr,226,1,-1,0,unknown
233,42,technician,married,unknown,no,254,yes,no,cellular,9,apr,241,1,336,1,failure
234,39,technician,married,secondary,no,958,yes,no,cellular,9,apr,141,5,142,4,failure
235,49,admin.,married,secondary,no,909,yes,no,cellular,9,apr,730,1,-1,0,unknown
236,34,blue-collar,married,primary,no,1451,yes,no,cellular,9,apr,765,3,-1,0,unknown
237,42,management,married,tertiary,no,1773,no,no,cellular,9,apr,311,1,336,1,failure
238,53,admin.,single,secondary,no,2892,no,no,cellular,9,apr,527,3,-1,0,unknown
239,56,blue-collar,married,primary,no,247,no,no,telephone,9,apr,126,4,-1,0,unknown
240,35,management,married,primary,no,0,yes,yes,cellular,9,apr,260,3,-1,0,unknown
241,59,admin.,married,secondary,no,817,no,no,cellular,9,apr,304,1,-1,0,unknown
242,29,blue-collar,single,secondary,no,314,yes,no,cellular,9,apr,161,1,316,2,other
243,32,admin.,married,secondary,no,393,yes,no,cellular,9,apr,236,1,330,1,failure
244,34,unemployed,married,secondary,no,438,yes,yes,cellular,9,apr,272,1,323,1,failure
245,35,admin.,married,secondary,no,159,yes,no,cellular,9,apr,259,2,262,1,failure
246,36,management,married,tertiary,no,1198,yes,no,cellular,9,apr,278,3,-1,0,unknown
247,35,blue-collar,married,secondary,no,63,yes,no,cellular,9,apr,139,1,-1,0,unknown
248,36,admin.,married,secondary,no,3268,no,no,cellular,9,apr,429,2,-1,0,unknown
249,42,technician,married,secondary,no,488,no,no,cellular,9,apr,230,1,325,1,other
250,51,blue-collar,married,primary,no,5131,yes,no,cellular,9,apr,348,1,329,2,failure
251,34,services,single,primary,no,25,yes,yes,cellular,9,apr,96,4,314,8,other
252,43,management,married,unknown,no,275,no,no,cellular,9,apr,109,2,339,2,failure
253,47,admin.,married,secondary,no,0,no,no,cellular,9,apr,159,1,-1,0,unknown
254,48,services,divorced,secondary,no,3186,no,yes,cellular,9,apr,104,1,-1,0,unknown
255,35,admin.,married,secondary,no,898,yes,no,cellular,9,apr,214,1,-1,0,unknown
256,58,retired,married,secondary,no,2126,no,no,cellular,9,apr,184,1,-1,0,unknown
257,42,entrepreneur,married,secondary,no,0,yes,no,cellular,9,apr,331,1,140,4,failure
258,55,management,divorced,tertiary,no,271,yes,no,cellular,9,apr,191,4,-1,0,unknown
259,34,technician,married,secondary,no,1012,yes,yes,cellular,9,apr,353,2,163,1,success
260,35,admin.,married,secondary,no,-312,no,no,cellular,9,apr,188,1,-1,0,unknown
261,34,self-employed,single,secondary,no,1261,yes,no,cellular,9,apr,169,2,-1,0,unknown
262,30,blue-collar,married,secondary,no,177,yes,no,cellular,9,apr,62,2,332,3,failure
263,40,management,divorced,tertiary,no,1315,yes,no,cellular,9,apr,466,2,141,5,failure
264,43,blue-collar,married,secondary,no,664,yes,no,cellular,9,apr,290,2,301,1,failure
265,55,self-employed,married,secondary,no,2408,no,no,telephone,9,apr,327,2,140,1,failure
266,29,admin.,married,tertiary,no,332,no,no,cellular,9,apr,179,1,-1,0,unknown
267,34,blue-collar,married,secondary,no,1235,yes,yes,cellular,9,apr,464,1,-1,0,unknown
268,31,services,single,secondary,no,900,yes,no,cellular,9,apr,221,2,140,6,failure
269,53,admin.,divorced,secondary,no,2647,yes,no,cellular,9,apr,494,1,-1,0,unknown
270,39,management,married,tertiary,no,399,no,no,cellular,9,apr,504,1,-1,0,unknown
271,68,retired,divorced,primary,no,695,no,no,cellular,9,apr,233,1,-1,0,unknown
272,20,student,single,secondary,no,1819,no,no,cellular,9,apr,245,3,-1,0,unknown
273,31,blue-collar,single,secondary,no,501,yes,no,cellular,9,apr,132,1,-1,0,unknown
274,39,admin.,married,secondary,no,0,no,no,cellular,9,apr,106,2,-1,0,unknown
275,36,entrepreneur,married,tertiary,no,0,yes,no,cellular,9,apr,339,1,-1,0,unknown
276,30,management,single,tertiary,no,2544,no,no,cellular,9,apr,152,2,-1,0,unknown
277,41,blue-collar,married,primary,no,3658,yes,no,cellular,9,apr,268,1,330,1,failure
278,30,technician,single,tertiary,no,987,no,no,cellular,9,apr,98,6,-1,0,unknown
279,37,technician,single,secondary,no,1590,yes,no,cellular,9,apr,121,5,315,3,other
280,31,admin.,single,secondary,no,3323,yes,no,cellular,9,apr,337,2,-1,0,unknown
281,40,management,single,tertiary,no,-318,yes,yes,cellular,9,apr,133,1,-1,0,unknown
282,40,blue-collar,married,secondary,no,1074,yes,no,cellular,9,apr,90,2,-1,0,unknown
283,40,blue-collar,married,secondary,no,1554,yes,no,cellular,9,apr,385,2,331,1,failure
284,34,entrepreneur,married,secondary,no,1847,yes,no,cellular,9,apr,543,3,321,6,failure
285,38,admin.,single,tertiary,no,-898,yes,no,cellular,9,apr,345,2,323,1,failure
286,32,blue-collar,married,secondary,no,759,yes,no,cellular,9,apr,317,5,-1,0,unknown
287,34,services,married,secondary,no,404,yes,no,cellular,9,apr,208,12,337,1,failure
288,25,management,single,tertiary,no,565,yes,no,cellular,9,apr,175,1,-1,0,unknown
289,34,admin.,married,tertiary,no,899,yes,no,cellular,9,apr,627,2,141,7,failure
290,46,blue-collar,married,primary,no,952,yes,no,cellular,9,apr,233,4,-1,0,unknown
291,28,management,divorced,tertiary,no,229,yes,no,cellular,9,apr,1042,2,315,2,other
292,36,blue-collar,single,secondary,no,5396,yes,no,cellular,9,apr,490,2,-1,0,unknown
293,37,management,divorced,tertiary,no,443,yes,no,cellular,9,apr,240,3,-1,0,unknown
294,35,entrepreneur,married,tertiary,no,7962,yes,no,cellular,9,apr,275,2,140,2,failure
295,36,technician,married,secondary,no,569,yes,no,cellular,9,apr,265,1,323,5,failure
296,39,technician,married,tertiary,no,1161,yes,no,cellular,9,apr,236,1,336,1,failure
297,33,management,married,tertiary,no,0,no,no,cellular,13,apr,244,2,-1,0,unknown
298,32,technician,married,secondary,no,1539,yes,no,cellular,13,apr,160,3,-1,0,unknown
299,36,management,married,tertiary,no,1,yes,yes,cellular,13,apr,84,2,-1,0,unknown
300,40,management,married,tertiary,no,1548,yes,no,cellular,13,apr,101,3,-1,0,unknown
301,43,blue-collar,married,primary,no,2901,yes,no,cellular,13,apr,179,4,-1,0,unknown
302,29,blue-collar,married,primary,no,18,yes,no,cellular,13,apr,297,3,-1,0,unknown
303,35,technician,married,secondary,no,327,yes,no,cellular,13,apr,537,3,-1,0,unknown
304,43,blue-collar,married,secondary,no,678,yes,yes,cellular,13,apr,299,3,-1,0,unknown
305,41,blue-collar,married,secondary,no,-56,yes,no,cellular,13,apr,137,1,333,2,other
306,42,entrepreneur,married,tertiary,no,1068,yes,no,cellular,13,apr,444,1,300,8,failure
307,45,blue-collar,married,secondary,no,96,yes,no,cellular,13,apr,348,3,256,2,failure
308,36,admin.,single,secondary,no,2556,yes,no,cellular,13,apr,342,1,-1,0,unknown
